contractSymbol	lastTradeDate	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
SPY240119C00705000	2023-02-23 19:59:14+00:00	705.0	0.02	0.0	0.07	0.0	0.0	1.0	275	0.3916076464843749	False	REGULAR	USD
SPY240119C00185000	2023-05-11 18:08:44+00:00	185.0	229.15	246.96	248.22	0.0	0.0	1.0	2	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00710000	2023-07-12 18:37:06+00:00	710.0	0.03	0.0	0.02	0.0	0.0	300.0	1125	0.3554751953124999	False	REGULAR	USD
SPY240119C00690000	2023-08-03 15:29:30+00:00	690.0	0.01	0.0	0.02	0.0	0.0	5.0	666	0.335944140625	False	REGULAR	USD
SPY240119C00685000	2023-08-16 13:32:14+00:00	685.0	0.01	0.0	0.01	0.0	0.0	152.0	2109	0.3125068749999999	False	REGULAR	USD
SPY240119C00680000	2023-08-17 14:49:47+00:00	680.0	0.01	0.0	0.02	0.0	0.0	3.0	748	0.3281317187499999	False	REGULAR	USD
SPY240119C00285000	2023-08-24 19:25:49+00:00	285.0	157.86	149.32	150.54	0.0	0.0	2.0	22	0.5224657128906249	True	REGULAR	USD
SPY240119C00625000	2023-08-30 18:37:00+00:00	625.0	0.01	0.0	0.02	0.0	0.0	2.0	258	0.27149166015625	False	REGULAR	USD
SPY240119C00245000	2023-09-06 15:51:44+00:00	245.0	203.15	187.07	188.27	0.0	0.0	4.0	17	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00635000	2023-09-08 15:30:56+00:00	635.0	0.01	0.0	0.02	0.0	0.0	25.0	3081	0.2812571874999999	False	REGULAR	USD
SPY240119C00295000	2023-09-14 17:16:56+00:00	295.0	158.38	138.77	140.02	0.0	0.0	200.0	163	0.4925587854003906	True	REGULAR	USD
SPY240119C00700000	2023-09-18 15:32:27+00:00	700.0	0.01	0.0	0.01	0.0	0.0	6.0	4322	0.3281317187499999	False	REGULAR	USD
SPY240119C00195000	2023-09-18 19:39:37+00:00	195.0	251.01	236.88	238.56	0.0	0.0	2.0	6	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00190000	2023-09-18 19:39:37+00:00	190.0	255.89	241.82	243.51	0.0	0.0	2.0	6	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00640000	2023-09-19 14:56:46+00:00	640.0	0.01	0.0	0.01	0.0	0.0	25.0	569	0.273444765625	False	REGULAR	USD
SPY240119C00645000	2023-09-19 18:04:34+00:00	645.0	0.01	0.0	0.02	0.0	0.0	21.0	2113	0.2929758203124999	False	REGULAR	USD
SPY240119C00215000	2023-09-20 20:03:28+00:00	215.0	226.79	207.23	208.51	0.0	0.0	1.0	3	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00610000	2023-09-22 19:49:00+00:00	610.0	0.01	0.0	0.02	0.0	0.0	18.0	1535	0.25586681640625	False	REGULAR	USD
SPY240119C00650000	2023-10-02 14:02:56+00:00	650.0	0.01	0.0	0.01	0.0	0.0	3.0	1555	0.2812571874999999	False	REGULAR	USD
SPY240119C00615000	2023-10-03 18:24:50+00:00	615.0	0.01	0.0	0.01	0.0	0.0	5.0	4917	0.2461012890625	False	REGULAR	USD
SPY240119C00290000	2023-10-03 18:55:27+00:00	290.0	135.33	141.94	143.15	0.0	0.0	25.0	123	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00670000	2023-10-04 13:42:59+00:00	670.0	0.01	0.0	0.01	0.0	0.0	250.0	37520	0.3007882421875	False	REGULAR	USD
SPY240119C00620000	2023-10-04 17:45:51+00:00	620.0	0.01	0.0	0.01	0.0	0.0	2.0	463	0.2500075	False	REGULAR	USD
SPY240119C00675000	2023-10-05 13:39:41+00:00	675.0	0.01	0.0	0.01	0.0	0.0	1.0	3883	0.304694453125	False	REGULAR	USD
SPY240119C00695000	2023-10-05 14:30:11+00:00	695.0	0.01	0.0	0.01	0.0	0.0	9.0	592	0.3242255078124999	False	REGULAR	USD
SPY240119C00235000	2023-10-09 16:13:23+00:00	235.0	196.95	202.51	203.78	0.0	0.0	26.0	42	0.9555668505859376	True	REGULAR	USD
SPY240119C00335000	2023-10-13 18:46:20+00:00	335.0	100.51	0.0	0.0	0.0	0.0	19.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00265000	2023-10-18 13:53:08+00:00	265.0	171.0	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00665000	2023-10-19 14:37:02+00:00	665.0	0.01	0.0	0.0	0.0	0.0	55.0	0	0.2500075	False	REGULAR	USD
SPY240119C00660000	2023-10-19 14:37:08+00:00	660.0	0.01	0.0	0.0	0.0	0.0	10.0	0	0.2500075	False	REGULAR	USD
SPY240119C00655000	2023-10-19 14:38:50+00:00	655.0	0.01	0.0	0.0	0.0	0.0	37.0	0	0.12500875	False	REGULAR	USD
SPY240119C00210000	2023-10-23 19:52:54+00:00	210.0	212.64	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00595000	2023-10-24 13:52:37+00:00	595.0	0.01	0.0	0.0	0.0	0.0	1.0	0	0.12500875	False	REGULAR	USD
SPY240119C00590000	2023-10-24 19:50:59+00:00	590.0	0.01	0.0	0.0	0.0	0.0	13.0	0	0.12500875	False	REGULAR	USD
SPY240119C00180000	2023-10-25 17:42:32+00:00	180.0	238.73	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00379000	2023-10-26 16:16:31+00:00	379.0	42.07	0.0	0.0	0.0	0.0		0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00575000	2023-10-26 17:14:36+00:00	575.0	0.01	0.0	0.0	0.0	0.0	500.0	0	0.12500875	False	REGULAR	USD
SPY240119C00205000	2023-10-26 17:50:56+00:00	205.0	209.95	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00364000	2023-10-27 14:02:14+00:00	364.0	53.85	0.0	0.0	0.0	0.0	6.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00396000	2023-10-27 18:58:17+00:00	396.0	25.62	0.0	0.0	0.0	0.0	39.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00399000	2023-10-27 18:58:26+00:00	399.0	23.43	0.0	0.0	0.0	0.0	9.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00580000	2023-10-27 20:01:31+00:00	580.0	0.01	0.0	0.0	0.0	0.0	54.0	0	0.12500875	False	REGULAR	USD
SPY240119C00585000	2023-10-27 20:01:49+00:00	585.0	0.01	0.0	0.0	0.0	0.0	4.0	0	0.12500875	False	REGULAR	USD
SPY240119C00383000	2023-10-30 13:30:03+00:00	383.0	39.15	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00398000	2023-10-30 16:14:39+00:00	398.0	26.82	0.0	0.0	0.0	0.0	5.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00240000	2023-10-31 13:46:30+00:00	240.0	176.73	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00230000	2023-10-31 13:53:03+00:00	230.0	185.56	0.0	0.0	0.0	0.0	7.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00225000	2023-10-31 13:57:43+00:00	225.0	191.29	0.0	0.0	0.0	0.0	13.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00391000	2023-10-31 16:38:04+00:00	391.0	33.34	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00255000	2023-10-31 18:54:54+00:00	255.0	164.62	0.0	0.0	0.0	0.0	6.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00386000	2023-11-01 14:33:05+00:00	386.0	41.49	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00570000	2023-11-01 17:16:10+00:00	570.0	0.01	0.0	0.0	0.0	0.0	5.0	0	0.12500875	False	REGULAR	USD
SPY240119C00371000	2023-11-01 19:59:04+00:00	371.0	56.46	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00392000	2023-11-02 15:02:16+00:00	392.0	42.87	0.0	0.0	0.0	0.0	875.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00310000	2023-11-02 18:14:37+00:00	310.0	122.24	0.0	0.0	0.0	0.0	5.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00630000	2023-11-03 15:41:45+00:00	630.0	0.01	0.0	0.0	0.0	0.0	10.0	0	0.12500875	False	REGULAR	USD
SPY240119C00408000	2023-11-03 17:10:19+00:00	408.0	34.25	0.0	0.0	0.0	0.0	11.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00220000	2023-11-03 17:51:39+00:00	220.0	216.33	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00565000	2023-11-03 18:46:21+00:00	565.0	0.01	0.0	0.0	0.0	0.0	3.0	0	0.12500875	False	REGULAR	USD
SPY240119C00330000	2023-11-06 15:57:35+00:00	330.0	107.85	0.0	0.0	0.0	0.0	6.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00200000	2023-11-06 17:35:44+00:00	200.0	235.9	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00411000	2023-11-06 18:24:21+00:00	411.0	30.2	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00365000	2023-11-06 19:16:08+00:00	365.0	72.32	0.0	0.0	0.0	0.0	4.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00605000	2023-11-06 19:55:01+00:00	605.0	0.01	0.0	0.0	0.0	0.0	10.0	0	0.12500875	False	REGULAR	USD
SPY240119C00413000	2023-11-06 20:40:12+00:00	413.0	29.04	0.0	0.0	0.0	0.0	3.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00315000	2023-11-06 20:45:46+00:00	315.0	122.26	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00305000	2023-11-07 15:05:42+00:00	305.0	132.91	0.0	0.0	0.0	0.0	23.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00404000	2023-11-07 15:28:35+00:00	404.0	38.0	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00394000	2023-11-07 16:19:18+00:00	394.0	47.66	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00403000	2023-11-07 16:41:29+00:00	403.0	40.09	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00600000	2023-11-07 17:22:21+00:00	600.0	0.01	0.0	0.0	0.0	0.0	4.0	0	0.12500875	False	REGULAR	USD
SPY240119C00555000	2023-11-08 14:30:01+00:00	555.0	0.01	0.0	0.0	0.0	0.0	31.0	0	0.12500875	False	REGULAR	USD
SPY240119C00560000	2023-11-08 14:30:10+00:00	560.0	0.01	0.0	0.0	0.0	0.0	10.0	0	0.12500875	False	REGULAR	USD
SPY240119C00540000	2023-11-08 14:54:50+00:00	540.0	0.02	0.0	0.0	0.0	0.0	2.0	0	0.12500875	False	REGULAR	USD
SPY240119C00355000	2023-11-08 15:52:09+00:00	355.0	84.68	0.0	0.0	0.0	0.0	4.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00325000	2023-11-08 16:25:16+00:00	325.0	113.83	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00525000	2023-11-08 16:42:25+00:00	525.0	0.02	0.0	0.0	0.0	0.0	20.0	0	0.062509375	False	REGULAR	USD
SPY240119C00275000	2023-11-08 18:02:53+00:00	275.0	162.5	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00390000	2023-11-08 18:02:55+00:00	390.0	50.35	0.0	0.0	0.0	0.0	42.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00270000	2023-11-08 18:03:37+00:00	270.0	167.75	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00375000	2023-11-08 18:23:40+00:00	375.0	64.79	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00345000	2023-11-08 18:47:01+00:00	345.0	93.79	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00370000	2023-11-08 20:48:28+00:00	370.0	70.7	0.0	0.0	0.0	0.0	44.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00380000	2023-11-08 20:51:04+00:00	380.0	61.33	0.0	0.0	0.0	0.0	16.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00545000	2023-11-09 14:30:00+00:00	545.0	0.01	0.0	0.0	0.0	0.0	2.0	0	0.12500875	False	REGULAR	USD
SPY240119C00416000	2023-11-09 14:59:48+00:00	416.0	28.25	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00407000	2023-11-09 15:07:31+00:00	407.0	35.25	0.0	0.0	0.0	0.0	870.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00406000	2023-11-09 15:14:20+00:00	406.0	36.19	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00405000	2023-11-09 15:31:17+00:00	405.0	36.8	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00385000	2023-11-09 16:03:06+00:00	385.0	55.86	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00550000	2023-11-09 16:11:25+00:00	550.0	0.01	0.0	0.0	0.0	0.0	10.0	0	0.12500875	False	REGULAR	USD
SPY240119C00490000	2023-11-09 16:15:16+00:00	490.0	0.12	0.0	0.0	0.0	0.0	110.0	0	0.062509375	False	REGULAR	USD
SPY240119C00515000	2023-11-09 16:33:15+00:00	515.0	0.03	0.0	0.0	0.0	0.0	5.0	0	0.062509375	False	REGULAR	USD
SPY240119C00720000	2023-11-09 16:55:12+00:00	720.0	0.01	0.0	0.0	0.0	0.0	1.0	0	0.2500075	False	REGULAR	USD
SPY240119C00535000	2023-11-09 17:08:35+00:00	535.0	0.01	0.0	0.0	0.0	0.0	15.0	0	0.12500875	False	REGULAR	USD
SPY240119C00260000	2023-11-09 17:27:45+00:00	260.0	178.7	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00410000	2023-11-09 17:41:11+00:00	410.0	33.0	0.0	0.0	0.0	0.0	9.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00505000	2023-11-09 18:00:30+00:00	505.0	0.04	0.0	0.0	0.0	0.0	40.0	0	0.062509375	False	REGULAR	USD
SPY240119C00340000	2023-11-09 18:05:30+00:00	340.0	98.21	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00250000	2023-11-09 18:07:27+00:00	250.0	186.87	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00280000	2023-11-09 18:08:11+00:00	280.0	156.51	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00510000	2023-11-09 18:11:35+00:00	510.0	0.03	0.0	0.0	0.0	0.0	18.0	0	0.062509375	False	REGULAR	USD
SPY240119C00520000	2023-11-09 18:15:29+00:00	520.0	0.02	0.0	0.0	0.0	0.0	2.0	0	0.062509375	False	REGULAR	USD
SPY240119C00360000	2023-11-09 19:10:58+00:00	360.0	77.58	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00426000	2023-11-09 19:18:22+00:00	426.0	17.76	0.0	0.0	0.0	0.0	7.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00423000	2023-11-09 19:22:37+00:00	423.0	20.07	0.0	0.0	0.0	0.0	3.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00495000	2023-11-09 19:23:59+00:00	495.0	0.08	0.0	0.0	0.0	0.0	64.0	0	0.062509375	False	REGULAR	USD
SPY240119C00428000	2023-11-09 19:35:53+00:00	428.0	16.56	0.0	0.0	0.0	0.0	119.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00424000	2023-11-09 19:35:53+00:00	424.0	19.61	0.0	0.0	0.0	0.0	7.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00419000	2023-11-09 19:37:50+00:00	419.0	22.96	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00412000	2023-11-09 19:40:09+00:00	412.0	28.89	0.0	0.0	0.0	0.0	3.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00422000	2023-11-09 20:01:52+00:00	422.0	20.39	0.0	0.0	0.0	0.0	9.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00418000	2023-11-09 20:11:54+00:00	418.0	23.89	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00402000	2023-11-09 20:15:09+00:00	402.0	37.44	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00320000	2023-11-09 20:15:24+00:00	320.0	116.15	0.0	0.0	0.0	0.0	6.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00449000	2023-11-09 20:18:08+00:00	449.0	4.48	0.0	0.0	0.0	0.0	484.0	0	0.01563484375	False	REGULAR	USD
SPY240119C00427000	2023-11-09 20:25:15+00:00	427.0	16.72	0.0	0.0	0.0	0.0	19.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00457000	2023-11-09 20:32:29+00:00	457.0	2.22	0.0	0.0	0.0	0.0	93.0	0	0.0312596875	False	REGULAR	USD
SPY240119C00395000	2023-11-09 20:39:38+00:00	395.0	43.3	0.0	0.0	0.0	0.0	11.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00500000	2023-11-09 20:40:51+00:00	500.0	0.05	0.0	0.0	0.0	0.0	529.0	0	0.062509375	False	REGULAR	USD
SPY240119C00401000	2023-11-09 20:41:26+00:00	401.0	37.89	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00417000	2023-11-09 20:41:47+00:00	417.0	24.52	0.0	0.0	0.0	0.0	351.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00350000	2023-11-09 20:42:44+00:00	350.0	86.3	0.0	0.0	0.0	0.0	300.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00441000	2023-11-09 20:47:57+00:00	441.0	7.83	0.0	0.0	0.0	0.0	426.0	0	0.007822421875	False	REGULAR	USD
SPY240119C00456000	2023-11-09 20:50:00+00:00	456.0	2.41	0.0	0.0	0.0	0.0	110.0	0	0.0312596875	False	REGULAR	USD
SPY240119C00448000	2023-11-09 20:50:37+00:00	448.0	4.85	0.0	0.0	0.0	0.0	386.0	0	0.01563484375	False	REGULAR	USD
SPY240119C00452000	2023-11-09 20:50:38+00:00	452.0	3.5	0.0	0.0	0.0	0.0	623.0	0	0.01563484375	False	REGULAR	USD
SPY240119C00451000	2023-11-09 20:50:40+00:00	451.0	3.8	0.0	0.0	0.0	0.0	768.0	0	0.01563484375	False	REGULAR	USD
SPY240119C00414000	2023-11-09 20:51:22+00:00	414.0	26.79	0.0	0.0	0.0	0.0	1.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00415000	2023-11-09 20:52:49+00:00	415.0	25.93	0.0	0.0	0.0	0.0	124.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00300000	2023-11-09 20:53:12+00:00	300.0	135.5	0.0	0.0	0.0	0.0	4.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00429000	2023-11-09 20:56:19+00:00	429.0	15.14	0.0	0.0	0.0	0.0	253.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00462000	2023-11-09 20:56:24+00:00	462.0	1.34	0.0	0.0	0.0	0.0	472.0	0	0.0312596875	False	REGULAR	USD
SPY240119C00431000	2023-11-09 20:56:27+00:00	431.0	13.77	0.0	0.0	0.0	0.0	528.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00447000	2023-11-09 20:56:30+00:00	447.0	5.14	0.0	0.0	0.0	0.0	273.0	0	0.01563484375	False	REGULAR	USD
SPY240119C00430000	2023-11-09 20:56:35+00:00	430.0	14.43	0.0	0.0	0.0	0.0	2410.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00409000	2023-11-09 20:57:19+00:00	409.0	30.41	0.0	0.0	0.0	0.0	2.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00425000	2023-11-09 20:57:28+00:00	425.0	17.93	0.0	0.0	0.0	0.0	283.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00453000	2023-11-09 20:57:31+00:00	453.0	3.13	0.0	0.0	0.0	0.0	313.0	0	0.01563484375	False	REGULAR	USD
SPY240119C00530000	2023-11-09 20:57:45+00:00	530.0	0.02	0.0	0.0	0.0	0.0	6.0	0	0.12500875	False	REGULAR	USD
SPY240119C00442000	2023-11-09 20:59:09+00:00	442.0	7.39	0.0	0.0	0.0	0.0	331.0	0	0.007822421875	False	REGULAR	USD
SPY240119C00465000	2023-11-09 20:59:11+00:00	465.0	1.01	0.0	0.0	0.0	0.0	2954.0	0	0.0312596875	False	REGULAR	USD
SPY240119C00432000	2023-11-09 20:59:15+00:00	432.0	13.2	0.0	0.0	0.0	0.0	404.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00475000	2023-11-09 20:59:28+00:00	475.0	0.35	0.0	0.0	0.0	0.0	558.0	0	0.0312596875	False	REGULAR	USD
SPY240119C00464000	2023-11-09 20:59:39+00:00	464.0	1.11	0.0	0.0	0.0	0.0	89.0	0	0.0312596875	False	REGULAR	USD
SPY240119C00434000	2023-11-09 21:02:41+00:00	434.0	12.0	0.0	0.0	0.0	0.0	256.0	0	0.0002541381835937	False	REGULAR	USD
SPY240119C00421000	2023-11-09 21:03:05+00:00	421.0	21.3	0.0	0.0	0.0	0.0	92.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00420000	2023-11-09 21:03:05+00:00	420.0	22.12	0.0	0.0	0.0	0.0	1016.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00485000	2023-11-09 21:05:29+00:00	485.0	0.14	0.0	0.0	0.0	0.0	860.0	0	0.062509375	False	REGULAR	USD
SPY240119C00455000	2023-11-09 21:05:52+00:00	455.0	2.7	0.0	0.0	0.0	0.0	355.0	0	0.0312596875	False	REGULAR	USD
SPY240119C00454000	2023-11-09 21:07:18+00:00	454.0	2.95	0.0	0.0	0.0	0.0	165.0	0	0.0312596875	False	REGULAR	USD
SPY240119C00439000	2023-11-09 21:07:46+00:00	439.0	9.06	0.0	0.0	0.0	0.0	310.0	0	0.007822421875	False	REGULAR	USD
SPY240119C00470000	2023-11-09 21:08:55+00:00	470.0	0.61	0.0	0.0	0.0	0.0	1178.0	0	0.0312596875	False	REGULAR	USD
SPY240119C00436000	2023-11-09 21:09:27+00:00	436.0	10.77	0.0	0.0	0.0	0.0	546.0	0	0.0039162109375	False	REGULAR	USD
SPY240119C00443000	2023-11-09 21:09:27+00:00	443.0	7.01	0.0	0.0	0.0	0.0	477.0	0	0.007822421875	False	REGULAR	USD
SPY240119C00400000	2023-11-09 21:10:38+00:00	400.0	39.16	0.0	0.0	0.0	0.0	18.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00433000	2023-11-09 21:11:14+00:00	433.0	12.7	0.0	0.0	0.0	0.0	168.0	0	1.0000000000000004e-05	True	REGULAR	USD
SPY240119C00444000	2023-11-09 21:12:05+00:00	444.0	6.58	0.0	0.0	0.0	0.0	520.0	0	0.01563484375	False	REGULAR	USD
SPY240119C00460000	2023-11-09 21:12:34+00:00	460.0	1.7	0.0	0.0	0.0	0.0	1879.0	0	0.0312596875	False	REGULAR	USD
SPY240119C00440000	2023-11-09 21:12:54+00:00	440.0	8.56	0.0	0.0	0.0	0.0	2174.0	0	0.007822421875	False	REGULAR	USD
SPY240119C00437000	2023-11-09 21:12:55+00:00	437.0	10.22	0.0	0.0	0.0	0.0	304.0	0	0.0039162109375	False	REGULAR	USD
SPY240119C00446000	2023-11-09 21:12:55+00:00	446.0	5.68	0.0	0.0	0.0	0.0	168.0	0	0.01563484375	False	REGULAR	USD
SPY240119C00445000	2023-11-09 21:12:55+00:00	445.0	6.12	0.0	0.0	0.0	0.0	1497.0	0	0.01563484375	False	REGULAR	USD
SPY240119C00438000	2023-11-09 21:12:55+00:00	438.0	9.67	0.0	0.0	0.0	0.0	599.0	0	0.0039162109375	False	REGULAR	USD
SPY240119C00458000	2023-11-09 21:13:54+00:00	458.0	2.05	0.0	0.0	0.0	0.0	437.0	0	0.0312596875	False	REGULAR	USD
SPY240119C00435000	2023-11-09 21:14:35+00:00	435.0	11.44	0.0	0.0	0.0	0.0	2045.0	0	0.00196310546875	False	REGULAR	USD
SPY240119C00450000	2023-11-09 21:14:46+00:00	450.0	4.17	0.0	0.0	0.0	0.0	2912.0	0	0.01563484375	False	REGULAR	USD
SPY240119C00480000	2023-11-09 21:14:50+00:00	480.0	0.21	0.0	0.0	0.0	0.0	515.0	0	0.062509375	False	REGULAR	USD
